"","Delta_Cyclethreshold"
"1","(HK-GOI)"
"2",NA
"3","-4.276666667"
"4","-2.99"
"5","-4.586666667"
"6",NA
"7",NA
"8","-4.246666667"
"9","-2.336666667"
"10","-3.613333333"
"11",NA
"12",NA
"13","-1.943333333"
"14","-1.553333333"
"15","-3.57"
"16",NA
"17",NA
"18","-3.753333333"
"19","-2.228333333"
"20","-3.77"
"21",NA
"22",NA
"23","-3.8"
"24","-3.693333333"
"25","-4.103333333"
"26",NA
"27",NA
"28","-5.306666667"
"29","-2.933333333"
"30","-4.796666667"
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
